#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
free_folk;Free Folk;Peuple Libre;Free Folk;;Pueblo Libre;;;;;;;;;x
free_folk_FEATURES;§Y*§! Is a traditional anti-slavery culture\n§Y*§! May freely invade neighbours if independent\n§Y*§! Vassals may renounce weak heirs\n§Y*§! More resistant to the effects of severe winter;§Y*§! Est une culture traditionnellement opposée à l'esclavage\n§Y*§! Peut envahir librement les voisins s'ils sont indépendants\n§Y*§! Des vassaux peuvent renier des héritiers faibles\n§Y*§! Sont plus résistants aux hivers rigoureux.;;;;;;;;;;;;x
wildling;Wildling;Sauvageon;Wildling;;Salvaje;;;;;;;;;x
skagosi;Skagosi;Skaggs;Skagosi;;Skagosí;;;;;;;;;x
thenn;Thenn;Thenn;Thenn;;Thennita;;;;;;;;;x
thenn_FEATURES;§Y*§! May freely invade neighbours if independent\n§Y*§! Vassals may renounce weak heirs;§Y*§! Peut envahir librement les voisins s'ils sont indépendants\n§Y*§! Des vassaux peuvent renier des héritiers faibles;;;§Y*§! Pueden invadir libremente a los vecinos si son independientes\n§Y*§! Sus vasallos pueden hacer renunciar a los herederos débiles;;;;;;;;;x
mountain_clans;Mountain Clansman;Clans des Montagnes;Mountain Clans;;Montañesa;;;;;;;;;x
moon_clansman;Mountain Clansman;Clan des Montagnes de la Lune;Mountain Clansman;;Clanes de las Montañas de la Luna;;;;;;;;;x
moon_clansman_FEATURES;§Y*§! Can freely castrate and blind captives;§Y*§! Peut librement castrer et aveugler ses prisonniers;Mountain Clansman;;§Y*§! Pueden castrar y cegar libremente a sus prisioneros;;;;;;;;;x
first_men;First Man;Premier Homme;First Men;;Primeros Hombres;;;;;;;;;x
first_men_FEATURES;§Y*§! Can NOT take lovers as concubines\n§Y*§! Is a traditional anti-slavery culture\n§Y*§! More resistant to the effects of severe winter;§Y*§! Ne peut PAS prendre des amantes comme concubines\n§Y*§! Est une culture traditionnellement opposée à l'esclavage\n§Y*§! Sont plus résistants aux hivers rigoureux.;;;;;;;;;;;;x
old_first_man;First Man;Premier Homme;First Men;;Primeros Hombres;;;;;;;;;x
northman;Northman;Nordien;Northman;;Norteña;;;;;;;;;x
hill_clansman;Hill Clansman;Clans des Collines;Hill Clansman;;Clanes de las Colinas;;;;;;;;;x
crannogman;Crannogman;Paludier;Crannogman;;Lacustre;;;;;;;;;x
half_southron;Former Southron;Sudier;Former Southron;;Antigua Sureña;;;;;;;;;x
andal;Andal;Andal;Andal;;Ándala;;;;;;;;;x
andal_FEATURES;§Y*§! Can NOT take lovers as concubines\n§Y*§! Is a traditional anti-slavery culture;§Y*§! Ne peut PAS prendre des amants comme cuncubines\n§Y*§! Est une culture traditionnellement opposée à l'esclavage;;;§Y*§! No pueden tomar amantes como concubinas\n§Y*§! Es una cultura tradicionalmente opuesta al esclavismo\n;;;;;;;;;x
riverlander;Riverman;Riverain;Riverlander;;Ribereña;;;;;;;;;x
westerman;Westerman;Ouestien;Westerman;;Occidental;;;;;;;;;x
valeman;Valeman;Du Val;Valeman;;Vallense;;;;;;;;;x
crownlander;Kingslander;Des Terres de la Couronne;Crownlander;;Coronense;;;;;;;;;x
stormlander;Stormlander;Orageois;Stormlander;;Tormenteña;;;;;;;;;x
reachman;Reachman;Du Bief;Reachman;;Dominiense;;;;;;;;;x
sisterman;Sisterman;Soeurois;;;Hermaneña;;;;;;;;;x
old_andal;Andal;Andal;Andal;;Ándala;;;;;;;;;x
dornish_andal;Dornish;Dornien;;;Dorniense;;;;;;;;;x
iron_isles_culture;Ironborn;Fer-Né;Ironborn;;Herreña;;;;;;;;;x
ironborn;Ironborn;Fer-Né;Ironborn;;Hijos del Hierro;;;;;;;;;x
ironborn_FEATURES;§Y*§! Can go on landless adventures;Fer-Né;Ironborn;;§Y*§! Pueden ir a aventuras sin tierras;;;;;;;;;x
dornish;Dornishman;Rhoynar;Rhoynar;;Dorniense;;;;;;;;;x
dornish_FEATURES;§Y*§! Can take lovers as concubines\n§Y*§! Is a traditional anti-slavery culture;§Y*§! Peut prendre des amants comme cuncubines\n§Y*§! Est une culture traditionnellement opposée à l'esclavage;;;§Y*§! Pueden tomar amantes como concubinas\n§Y*§! Es una cultura tradicionalmente opuesta al esclavismo\n;;;;;;;;;x
stone_dornish;Stone Dornish;Dornien Rocheux;Steindornen;;Dorniense de la Piedra;;;;;;;;;x
sand_dornish;Sand Dornish;Dornien Sableux;Sanddornen;;Dorniense de la Arena;;;;;;;;;x
salt_dornish;Salt Dornish;Dornien Salé;Salzdornen;;Dorniense de la Sal;;;;;;;;;x
rhoynar;Rhoynar;Rhoynar;Rhoynar;;Rhoynar;;;;;;;;;x
valyrian;Valyrian;Valyrien;Valyrisch;;Valyria;;;;;;;;;x
high_valyrian;High Valyrian;Haut Valyrien;Hochvalyrisch;;Alta Valyria;;;;;;;;;x
high_valyrian_FEATURES;§Y*§! Is a traditional slaver culture\n§Y*§! Targaryen and Blackfyre dynasties can arrange marriages between close family members;Ghiscari;;;§Y*§! Es una cultura tradicionalmente esclavista\n§Y*§! Las casas Targaryen y Fuegoscuro pueden casarse entre parientes cercanos.;;;;;;;;;x
western_valyrian;Westerosi Valyrian;Valyrien de l'Ouest;Westvalyrisch;;Valyria Occidental;;;;;;;;;x
eastern_valyrian;Essosi Valyrian;Valyrien;;;Valyria Oriental;;;;;;;;;x
eastern_valyrian_FEATURES;§Y*§! Is a traditional slaver culture;§Y*§! Est une culture traditionnellement esclavagiste;;;§Y*§! Es una cultura tradicionalmente esclavista;;;;;;;;;x
free_cities;Essosi;Essosi;Freie Städte;;Ciudades Libres;;;;;;;;;x
pentosi;Pentoshi;Pentoshi;Pentosi;;Péntica;;;;;;;;;x
pentosi_FEATURES;§Y*§! Is a traditional slaver culture;Ghiscari;;;§Y*§! Es una cultura tradicionalmente esclavista;;;;;;;;;x
